Date,Day of the Week,Number of Trips,Number of Passengers
01.03.2023,Wednesday,33,991
02.03.2023,Thursday,38,1208
03.03.2023,Friday,39,1152
04.03.2023,Saturday,38,952
05.03.2023,Sunday,36,1131
06.03.2023,Monday,35,1002
07.03.2023,Tuesday,40,1107
08.03.2023,Wednesday,40,1184
09.03.2023,Thursday,26,997
10.03.2023,Friday,31,1150
11.03.2023,Saturday,36,1192
12.03.2023,Sunday,35,1127
13.03.2023,Monday,33,1193
14.03.2023,Tuesday,28,1076
15.03.2023,Wednesday,37,1226
16.03.2023,Thursday,36,798
17.03.2023,Friday,32,976
18.03.2023,Saturday,34,1207
19.03.2023,Sunday,38,1226
20.03.2023,Monday,35,1030
21.03.2023,Tuesday,31,1055
22.03.2023,Wednesday,42,1091
23.03.2023,Thursday,36,954
24.03.2023,Friday,35,1211
25.03.2023,Saturday,30,1042
26.03.2023,Sunday,37,2410
27.03.2023,Monday,29,1304
28.03.2023,Tuesday,27,914
29.03.2023,Wednesday,31,1171
30.03.2023,Thursday,33,1032
31.03.2023,Friday,31,1248
