Date,Day of the Week,Number of Trips,Number of Passengers
01.03.2023,Wednesday,93,2758
02.03.2023,Thursday,94,2785
03.03.2023,Friday,94,2153
04.03.2023,Saturday,89,2938
05.03.2023,Sunday,102,2915
06.03.2023,Monday,98,3007
07.03.2023,Tuesday,86,2752
08.03.2023,Wednesday,98,2853
09.03.2023,Thursday,95,2968
10.03.2023,Friday,100,2925
11.03.2023,Saturday,97,2901
12.03.2023,Sunday,104,2592
13.03.2023,Monday,106,2838
14.03.2023,Tuesday,99,2741
15.03.2023,Wednesday,93,2858
16.03.2023,Thursday,95,2710
17.03.2023,Friday,91,3058
18.03.2023,Saturday,93,2757
19.03.2023,Sunday,100,3143
20.03.2023,Monday,98,2842
21.03.2023,Tuesday,99,2772
22.03.2023,Wednesday,99,2699
23.03.2023,Thursday,162,2736
24.03.2023,Friday,93,3121
25.03.2023,Saturday,98,2725
26.03.2023,Sunday,95,2512
27.03.2023,Monday,92,2900
28.03.2023,Tuesday,88,2792
29.03.2023,Wednesday,97,2810
30.03.2023,Thursday,97,2837
31.03.2023,Friday,87,2558
