Date,Day of the Week,Number of Trips,Number of Passengers
01.03.2023,Wednesday,108,4696
02.03.2023,Thursday,102,4129
03.03.2023,Friday,109,4348
04.03.2023,Saturday,118,4425
05.03.2023,Sunday,122,3613
06.03.2023,Monday,118,4415
07.03.2023,Tuesday,110,4102
08.03.2023,Wednesday,121,4295
09.03.2023,Thursday,126,3358
10.03.2023,Friday,109,4395
11.03.2023,Saturday,121,4948
12.03.2023,Sunday,117,4085
13.03.2023,Monday,119,4627
14.03.2023,Tuesday,110,4255
15.03.2023,Wednesday,108,3842
16.03.2023,Thursday,110,4059
17.03.2023,Friday,113,4865
18.03.2023,Saturday,115,4546
19.03.2023,Sunday,105,4739
20.03.2023,Monday,118,4723
21.03.2023,Tuesday,108,4293
22.03.2023,Wednesday,99,3578
23.03.2023,Thursday,109,4258
24.03.2023,Friday,98,4820
25.03.2023,Saturday,114,4115
26.03.2023,Sunday,101,3873
27.03.2023,Monday,132,3959
28.03.2023,Tuesday,117,4031
29.03.2023,Wednesday,113,4147
30.03.2023,Thursday,113,4103
31.03.2023,Friday,108,4518
