Date,Day of the Week,Number of Trips,Number of Passengers
01.03.2023,Wednesday,99,2027
02.03.2023,Thursday,100,1862
03.03.2023,Friday,109,2084
04.03.2023,Saturday,105,1886
05.03.2023,Sunday,123,2036
06.03.2023,Monday,104,1888
07.03.2023,Tuesday,103,2089
08.03.2023,Wednesday,98,1844
09.03.2023,Thursday,101,2188
10.03.2023,Friday,106,1791
11.03.2023,Saturday,103,2204
12.03.2023,Sunday,90,1876
13.03.2023,Monday,102,1842
14.03.2023,Tuesday,114,2101
15.03.2023,Wednesday,99,2201
16.03.2023,Thursday,106,1722
17.03.2023,Friday,106,2145
18.03.2023,Saturday,92,2092
19.03.2023,Sunday,100,1961
20.03.2023,Monday,102,1905
21.03.2023,Tuesday,103,2194
22.03.2023,Wednesday,109,2163
23.03.2023,Thursday,111,1955
24.03.2023,Friday,107,2073
25.03.2023,Saturday,103,2008
26.03.2023,Sunday,100,2190
27.03.2023,Monday,171,1920
28.03.2023,Tuesday,102,1888
29.03.2023,Wednesday,104,1968
30.03.2023,Thursday,100,2162
31.03.2023,Friday,100,1976
