Date,Day of the Week,Number of Trips,Number of Passengers
01.03.2023,Wednesday,116,5584
02.03.2023,Thursday,126,4539
03.03.2023,Friday,126,3979
04.03.2023,Saturday,128,4478
05.03.2023,Sunday,119,5352
06.03.2023,Monday,127,4568
07.03.2023,Tuesday,135,5261
08.03.2023,Wednesday,135,3938
09.03.2023,Thursday,103,5428
10.03.2023,Friday,143,4514
11.03.2023,Saturday,119,5030
12.03.2023,Sunday,131,3747
13.03.2023,Monday,137,4141
14.03.2023,Tuesday,138,5101
15.03.2023,Wednesday,144,5339
16.03.2023,Thursday,138,4326
17.03.2023,Friday,132,4912
18.03.2023,Saturday,124,5514
19.03.2023,Sunday,112,4429
20.03.2023,Monday,124,5108
21.03.2023,Tuesday,123,4913
22.03.2023,Wednesday,116,3692
23.03.2023,Thursday,126,4454
24.03.2023,Friday,125,3018
25.03.2023,Saturday,130,4304
26.03.2023,Sunday,16,4276
27.03.2023,Monday,124,5425
28.03.2023,Tuesday,121,4192
29.03.2023,Wednesday,128,4215
30.03.2023,Thursday,125,4494
31.03.2023,Friday,137,3725
