Date,Day of the Week,Number of Trips,Number of Passengers
01.03.2023,Wednesday,18,1028
02.03.2023,Thursday,22,1042
03.03.2023,Friday,21,194
04.03.2023,Saturday,24,1400
05.03.2023,Sunday,18,643
06.03.2023,Monday,51,371
07.03.2023,Tuesday,20,775
08.03.2023,Wednesday,14,1475
09.03.2023,Thursday,17,968
10.03.2023,Friday,19,313
11.03.2023,Saturday,19,499
12.03.2023,Sunday,21,1180
13.03.2023,Monday,22,970
14.03.2023,Tuesday,14,641
15.03.2023,Wednesday,16,646
16.03.2023,Thursday,19,1297
17.03.2023,Friday,19,654
18.03.2023,Saturday,20,757
19.03.2023,Sunday,19,1233
20.03.2023,Monday,17,886
21.03.2023,Tuesday,18,660
22.03.2023,Wednesday,18,660
23.03.2023,Thursday,22,915
24.03.2023,Friday,22,355
25.03.2023,Saturday,19,139
26.03.2023,Sunday,21,560
27.03.2023,Monday,24,1260
28.03.2023,Tuesday,16,401
29.03.2023,Wednesday,16,478
30.03.2023,Thursday,21,889
31.03.2023,Friday,14,904
