Date,Day of the Week,Number of Trips,Number of Passengers
01.03.2023,Wednesday,26,742
02.03.2023,Thursday,26,246
03.03.2023,Friday,28,584
04.03.2023,Saturday,27,901
05.03.2023,Sunday,25,1091
06.03.2023,Monday,28,1117
07.03.2023,Tuesday,24,906
08.03.2023,Wednesday,27,717
09.03.2023,Thursday,22,458
10.03.2023,Friday,25,692
11.03.2023,Saturday,28,720
12.03.2023,Sunday,24,833
13.03.2023,Monday,25,638
14.03.2023,Tuesday,22,655
15.03.2023,Wednesday,23,520
16.03.2023,Thursday,24,648
17.03.2023,Friday,25,664
18.03.2023,Saturday,25,757
19.03.2023,Sunday,21,1276
20.03.2023,Monday,24,977
21.03.2023,Tuesday,23,769
22.03.2023,Wednesday,22,310
23.03.2023,Thursday,26,392
24.03.2023,Friday,25,812
25.03.2023,Saturday,26,1285
26.03.2023,Sunday,27,1635
27.03.2023,Monday,25,944
28.03.2023,Tuesday,22,872
29.03.2023,Wednesday,23,904
30.03.2023,Thursday,28,614
31.03.2023,Friday,27,1390
